hub_id,in_degree,out_degree,betweenness_centrality,clustering_coefficient,pagerank,total_hub_trips,total_sla_breach_trips,breach_rate_%,risk_tier
IND396580AAB,1,1,0.0,0.0,0.0005285942570950513,7.0,7.0,100.0,Low Risk
IND505467AAA,1,1,0.0,1.0,0.0001677206518887292,7.0,7.0,100.0,Low Risk
IND788806AAA,2,1,0.0007979581947017995,0.0,0.0004929988901015395,7.0,7.0,100.0,Low Risk
IND792130AAB,0,1,0.0,0.0,0.00012114567835132603,7.0,7.0,100.0,Low Risk
IND400612AAA,2,1,0.0,0.0,0.0005125614733677923,7.0,7.0,100.0,Low Risk
IND400705AAA,1,2,0.0004014360979504079,0.0,0.00020693219571935728,9.0,7.0,77.8,Low Risk
IND794101AAA,1,2,0.003581172873806181,0.0,0.0007472251438189312,9.0,7.0,77.8,Low Risk
IND783348AAA,2,2,0.003584952874728501,0.0,0.0007239838405636596,9.0,7.0,77.8,Low Risk
IND781005AAA,1,2,0.0,0.0,0.00018617555192061073,9.0,7.0,77.8,Low Risk
IND781014AAA,0,2,0.0,0.0,0.00012114567835132603,9.0,7.0,77.8,Low Risk
IND383315AAC,1,2,0.0007998481951629596,0.6666666666666666,0.0004664544500068499,8.0,7.0,87.5,Low Risk
IND383255AAB,1,1,0.0,1.0,0.00030889084662759895,7.0,7.0,100.0,Low Risk
IND400037AAA,1,2,0.0,0.0,0.0020708183886106813,10.0,7.0,70.0,Low Risk
IND507159AAA,2,2,0.0,1.0,0.0003841969364921839,10.0,7.0,70.0,Low Risk
IND508207AAB,3,3,0.0009128936227460488,0.3333333333333333,0.0007243855017004922,11.0,7.0,63.6,Low Risk
IND396445AAA,1,1,6.426001567944382e-06,0.0,0.0003273122661605792,7.0,7.0,100.0,Low Risk
IND410401AAA,2,2,0.0,0.0,0.0002869424260197999,8.0,7.0,87.5,Low Risk
IND801103AAA,0,1,0.0,0.0,0.00012114567835132603,7.0,7.0,100.0,Low Risk
IND802212AAA,1,1,0.0007979581947017995,0.0,0.0004739630650643125,7.0,7.0,100.0,Low Risk
IND363330AAB,1,1,0.0,1.0,0.0002820900854077051,7.0,7.0,100.0,Low Risk
IND370201AAA,2,2,0.0019981084875384707,0.3333333333333333,0.00041773654787094884,8.0,7.0,87.5,Low Risk
IND125047AAB,3,2,1.0206002490264607e-05,0.3333333333333333,0.0005755271212599791,9.0,7.0,77.8,Low Risk
